[TAKE] Cont Crane 	#1 taken by Cargovessel7 	CONTAINER on 29:11:2020
[TAKE] Liq  Crane 	#1 taken by Liquidvessel6 	LIQUID on 13:12:2020
[TAKE] Bulk Crane 	#1 taken by Bulkvessel2 	BULK on 16:12:2020
[REL]  Cont Crane 	#1 taken by Cargovessel7 	CONTAINER was released on 18:12:2020 days w/o delay 16 days with delay 20 days passed 20
[TAKE] Cont Crane 	#1 taken by Cargovessel3 	CONTAINER on 19:12:2020
[REL]  Liq  Crane 	#1 taken by Liquidvessel6 	LIQUID was released on 05:01:2021 days w/o delay 19 days with delay 24 days passed 24
[REL]  Cont Crane 	#1 taken by Cargovessel3 	CONTAINER was released on 05:01:2021 days w/o delay 16 days with delay 18 days passed 18
[TAKE] Liq  Crane 	#1 taken by Liquidvessel7 	LIQUID on 06:01:2021
[TAKE] Cont Crane 	#1 taken by Cargovessel9 	CONTAINER on 06:01:2021
[REL]  Bulk Crane 	#1 taken by Bulkvessel2 	BULK was released on 08:01:2021 days w/o delay 16 days with delay 24 days passed 24
[TAKE] Bulk Crane 	#1 taken by Bulkvessel1 	BULK on 09:01:2021
[REL]  Cont Crane 	#1 taken by Cargovessel9 	CONTAINER was released on 21:01:2021 days w/o delay 15 days with delay 16 days passed 16
[TAKE] Cont Crane 	#1 taken by Cargovessel5 	CONTAINER on 22:01:2021
[REL]  Liq  Crane 	#1 taken by Liquidvessel7 	LIQUID was released on 27:01:2021 days w/o delay 15 days with delay 22 days passed 22
[TAKE] Liq  Crane 	#1 taken by Liquidvessel3 	LIQUID on 28:01:2021
[REL]  Bulk Crane 	#1 taken by Bulkvessel1 	BULK was released on 30:01:2021 days w/o delay 13 days with delay 22 days passed 22
[REL]  Cont Crane 	#1 taken by Cargovessel5 	CONTAINER was released on 09:02:2021 days w/o delay 15 days with delay 19 days passed 19
[TAKE] Cont Crane 	#1 taken by Cargovessel1 	CONTAINER on 10:02:2021
[REL]  Liq  Crane 	#1 taken by Liquidvessel3 	LIQUID was released on 15:02:2021 days w/o delay 19 days with delay 19 days passed 19
[TAKE] Liq  Crane 	#1 taken by Liquidvessel4 	LIQUID on 16:02:2021
[REL]  Cont Crane 	#1 taken by Cargovessel1 	CONTAINER was released on 04:03:2021 days w/o delay 14 days with delay 23 days passed 23
[TAKE] Cont Crane 	#1 taken by Cargovessel6 	CONTAINER on 05:03:2021
[REL]  Liq  Crane 	#1 taken by Liquidvessel4 	LIQUID was released on 07:03:2021 days w/o delay 19 days with delay 20 days passed 20
[TAKE] Liq  Crane 	#1 taken by Liquidvessel5 	LIQUID on 08:03:2021
[REL]  Cont Crane 	#1 taken by Cargovessel6 	CONTAINER was released on 20:03:2021 days w/o delay 16 days with delay 16 days passed 16
[TAKE] Cont Crane 	#1 taken by Cargovessel8 	CONTAINER on 21:03:2021
[REL]  Liq  Crane 	#1 taken by Liquidvessel5 	LIQUID was released on 28:03:2021 days w/o delay 19 days with delay 21 days passed 21
[TAKE] Liq  Crane 	#1 taken by Liquidvessel1 	LIQUID on 29:03:2021
[REL]  Cont Crane 	#1 taken by Cargovessel8 	CONTAINER was released on 03:04:2021 days w/o delay 13 days with delay 14 days passed 14
[TAKE] Cont Crane 	#1 taken by Cargovessel4 	CONTAINER on 04:04:2021
[REL]  Liq  Crane 	#1 taken by Liquidvessel1 	LIQUID was released on 16:04:2021 days w/o delay 15 days with delay 19 days passed 19
[TAKE] Liq  Crane 	#1 taken by Liquidvessel9 	LIQUID on 17:04:2021
[REL]  Cont Crane 	#1 taken by Cargovessel4 	CONTAINER was released on 19:04:2021 days w/o delay 14 days with delay 16 days passed 16
[TAKE] Cont Crane 	#1 taken by Cargovessel2 	CONTAINER on 20:04:2021
[REL]  Cont Crane 	#1 taken by Cargovessel2 	CONTAINER was released on 05:05:2021 days w/o delay 13 days with delay 16 days passed 16
[REL]  Liq  Crane 	#1 taken by Liquidvessel9 	LIQUID was released on 08:05:2021 days w/o delay 19 days with delay 22 days passed 22
[TAKE] Liq  Crane 	#1 taken by Liquidvessel2 	LIQUID on 09:05:2021
[REL]  Liq  Crane 	#1 taken by Liquidvessel2 	LIQUID was released on 28:05:2021 days w/o delay 18 days with delay 20 days passed 20
[TAKE] Liq  Crane 	#1 taken by Liquidvessel8 	LIQUID on 29:05:2021
[REL]  Liq  Crane 	#1 taken by Liquidvessel8 	LIQUID was released on 18:06:2021 days w/o delay 19 days with delay 21 days passed 21

----Next Record----

[TAKE] Cont Crane 	#1 taken by Cargovessel7 	CONTAINER on 29:11:2020
[TAKE] Cont Crane 	#2 taken by Cargovessel3 	CONTAINER on 02:12:2020
[TAKE] Liq  Crane 	#1 taken by Liquidvessel6 	LIQUID on 13:12:2020
[TAKE] Bulk Crane 	#1 taken by Bulkvessel2 	BULK on 16:12:2020
[TAKE] Liq  Crane 	#2 taken by Liquidvessel7 	LIQUID on 18:12:2020
[REL]  Cont Crane 	#1 taken by Cargovessel7 	CONTAINER was released on 18:12:2020 days w/o delay 16 days with delay 20 days passed 20
[TAKE] Cont Crane 	#1 taken by Cargovessel9 	CONTAINER on 19:12:2020
